Year,Dis Mag Scale,Dis Mag Value,Country,Longitude,Latitude,Disaster Type
1967.0,0,47350.38030731904,9,2376,1242,1
1967.0,1,47350.38030731904,18,2376,1242,12
1967.0,1,47350.38030731904,15,2376,1242,12
1967.0,1,47350.38030731904,15,2376,1242,12
1967.0,0,47350.38030731904,26,2376,1242,10
1967.0,0,47350.38030731904,26,2376,1242,5
1967.0,0,47350.38030731904,26,2376,1242,5
1967.0,0,47350.38030731904,26,2376,1242,5
1967.0,0,47350.38030731904,26,2376,1242,5
1967.0,0,47350.38030731904,44,2376,1242,10
1967.0,1,47350.38030731904,45,2376,1242,12
1967.0,2,7.0,41,331,899,2
1967.0,0,47350.38030731904,2,2376,1242,5
1967.0,3,47350.38030731904,57,2376,1242,3
1967.0,0,47350.38030731904,57,2376,1242,5
1967.0,1,47350.38030731904,66,2376,1242,12
1967.0,2,5.0,66,5,2040,2
1967.0,2,6.0,76,1405,1807,2
1967.0,1,47350.38030731904,86,2376,1242,12
1967.0,0,47350.38030731904,86,2376,1242,14
1967.0,2,6.0,90,801,470,2
1967.0,0,47350.38030731904,90,2376,1242,5
1967.0,0,47350.38030731904,90,2376,1242,5
1967.0,0,47350.38030731904,90,2376,1242,5
1967.0,0,47350.38030731904,90,2376,1242,5
1967.0,2,7.0,89,2135,782,2
1967.0,1,47350.38030731904,89,2376,1242,12
1967.0,3,47350.38030731904,89,2376,1242,3
1968.0,2,7.0,76,1458,1797,2
1968.0,2,7.0,9,848,283,2
1968.0,0,47350.38030731904,9,2376,1242,14
1968.0,1,47350.38030731904,15,2376,1242,12
1968.0,0,47350.38030731904,15,2376,1242,5
1968.0,0,47350.38030731904,23,2376,1242,5
1968.0,4,47350.38030731904,26,2376,1242,4
1968.0,0,47350.38030731904,25,2376,1242,1
1968.0,0,47350.38030731904,193,2376,1242,10
1968.0,0,47350.38030731904,39,2376,1242,1
1968.0,1,47350.38030731904,39,2376,1242,12
1968.0,1,47350.38030731904,41,2376,1242,12
1968.0,0,47350.38030731904,46,2376,1242,13
1968.0,1,47350.38030731904,48,2376,1242,12
1968.0,1,47350.38030731904,74,2376,1242,12
1968.0,0,47350.38030731904,56,2376,1242,1
1968.0,0,47350.38030731904,63,2376,1242,5
1968.0,1,47350.38030731904,212,2376,1242,12
1968.0,0,47350.38030731904,75,2376,1242,5
1968.0,0,47350.38030731904,70,2376,1242,1
1968.0,0,47350.38030731904,86,2376,1242,10
1968.0,1,47350.38030731904,86,2376,1242,12
1968.0,0,47350.38030731904,86,2376,1242,14
1968.0,0,47350.38030731904,86,2376,1242,14
1968.0,0,47350.38030731904,84,2376,1242,1
1968.0,2,8.0,90,886,494,2
1968.0,3,47350.38030731904,90,2376,1242,3
1968.0,0,47350.38030731904,90,2376,1242,5
